step,time,z_num,vz_num,z_exact,vz_exact,error_z
116,1.1600000000e-01,4.9322815700e+00,-1.1477700000e+00,4.9339983200e+00,-1.1379600000e+00,1.7167500000e-03
117,1.1700000000e-01,4.9311239900e+00,-1.1575800000e+00,4.9328554550e+00,-1.1477700000e+00,1.7314650000e-03
118,1.1800000000e-01,4.9299566000e+00,-1.1673900000e+00,4.9317027800e+00,-1.1575800000e+00,1.7461800000e-03
119,1.1900000000e-01,4.9287794000e+00,-1.1772000000e+00,4.9305402950e+00,-1.1673900000e+00,1.7608950000e-03
120,1.2000000000e-01,4.9275923900e+00,-1.1870100000e+00,4.9293680000e+00,-1.1772000000e+00,1.7756100000e-03
121,1.2100000000e-01,4.9263955700e+00,-1.1968200000e+00,4.9281858950e+00,-1.1870100000e+00,1.7903250000e-03
122,1.2200000000e-01,4.9251889400e+00,-1.2066300000e+00,4.9269939800e+00,-1.1968200000e+00,1.8050400000e-03
123,1.2300000000e-01,4.9239725000e+00,-1.2164400000e+00,4.9257922550e+00,-1.2066300000e+00,1.8197550000e-03
124,1.2400000000e-01,4.9227462500e+00,-1.2262500000e+00,4.9245807200e+00,-1.2164400000e+00,1.8344700000e-03
125,1.2500000000e-01,4.9215101900e+00,-1.2360600000e+00,4.9233593750e+00,-1.2262500000e+00,1.8491850000e-03
126,1.2600000000e-01,4.9202643200e+00,-1.2458700000e+00,4.9221282200e+00,-1.2360600000e+00,1.8639000000e-03
127,1.2700000000e-01,4.9190086400e+00,-1.2556800000e+00,4.9208872550e+00,-1.2458700000e+00,1.8786150000e-03
128,1.2800000000e-01,4.9177431500e+00,-1.2654900000e+00,4.9196364800e+00,-1.2556800000e+00,1.8933300000e-03
129,1.2900000000e-01,4.9164678500e+00,-1.2753000000e+00,4.9183758950e+00,-1.2654900000e+00,1.9080450000e-03
130,1.3000000000e-01,4.9151827400e+00,-1.2851100000e+00,4.9171055000e+00,-1.2753000000e+00,1.9227600000e-03
131,1.3100000000e-01,4.9138878200e+00,-1.2949200000e+00,4.9158252950e+00,-1.2851100000e+00,1.9374750000e-03
132,1.3200000000e-01,4.9125830900e+00,-1.3047300000e+00,4.9145352800e+00,-1.2949200000e+00,1.9521900000e-03
133,1.3300000000e-01,4.9112685500e+00,-1.3145400000e+00,4.9132354550e+00,-1.3047300000e+00,1.9669050000e-03
134,1.3400000000e-01,4.9099442000e+00,-1.3243500000e+00,4.9119258200e+00,-1.3145400000e+00,1.9816200000e-03
135,1.3500000000e-01,4.9086100400e+00,-1.3341600000e+00,4.9106063750e+00,-1.3243500000e+00,1.9963350000e-03
136,1.3600000000e-01,4.9072660700e+00,-1.3439700000e+00,4.9092771200e+00,-1.3341600000e+00,2.0110500000e-03
137,1.3700000000e-01,4.9059122900e+00,-1.3537800000e+00,4.9079380550e+00,-1.3439700000e+00,2.0257650000e-03
138,1.3800000000e-01,4.9045487000e+00,-1.3635900000e+00,4.9065891800e+00,-1.3537800000e+00,2.0404800000e-03
139,1.3900000000e-01,4.9031753000e+00,-1.3734000000e+00,4.9052304950e+00,-1.3635900000e+00,2.0551950000e-03
140,1.4000000000e-01,4.9017920900e+00,-1.3832100000e+00,4.9038620000e+00,-1.3734000000e+00,2.0699100000e-03
141,1.4100000000e-01,4.9003990700e+00,-1.3930200000e+00,4.9024836950e+00,-1.3832100000e+00,2.0846250000e-03
142,1.4200000000e-01,4.8989962400e+00,-1.4028300000e+00,4.9010955800e+00,-1.3930200000e+00,2.0993400000e-03
143,1.4300000000e-01,4.8975836000e+00,-1.4126400000e+00,4.8996976550e+00,-1.4028300000e+00,2.1140550000e-03
144,1.4400000000e-01,4.8961611500e+00,-1.4224500000e+00,4.8982899200e+00,-1.4126400000e+00,2.1287700000e-03
145,1.4500000000e-01,4.8947288900e+00,-1.4322600000e+00,4.8968723750e+00,-1.4224500000e+00,2.1434850000e-03
146,1.4600000000e-01,4.8932868200e+00,-1.4420700000e+00,4.8954450200e+00,-1.4322600000e+00,2.1582000000e-03
147,1.4700000000e-01,4.8918349400e+00,-1.4518800000e+00,4.8940078550e+00,-1.4420700000e+00,2.1729150000e-03
148,1.4800000000e-01,4.8903732500e+00,-1.4616900000e+00,4.8925608800e+00,-1.4518800000e+00,2.1876300000e-03
149,1.4900000000e-01,4.8889017500e+00,-1.4715000000e+00,4.8911040950e+00,-1.4616900000e+00,2.2023450000e-03
150,1.5000000000e-01,4.8874204400e+00,-1.4813100000e+00,4.8896375000e+00,-1.4715000000e+00,2.2170600000e-03
151,1.5100000000e-01,4.8859293200e+00,-1.4911200000e+00,4.8881610950e+00,-1.4813100000e+00,2.2317750000e-03
152,1.5200000000e-01,4.8844283900e+00,-1.5009300000e+00,4.8866748800e+00,-1.4911200000e+00,2.2464900000e-03
153,1.5300000000e-01,4.8829176500e+00,-1.5107400000e+00,4.8851788550e+00,-1.5009300000e+00,2.2612050000e-03
154,1.5400000000e-01,4.8813971000e+00,-1.5205500000e+00,4.8836730200e+00,-1.5107400000e+00,2.2759200000e-03
155,1.5500000000e-01,4.8798667400e+00,-1.5303600000e+00,4.8821573750e+00,-1.5205500000e+00,2.2906350000e-03
156,1.5600000000e-01,4.8783265700e+00,-1.5401700000e+00,4.8806319200e+00,-1.5303600000e+00,2.3053500000e-03
157,1.5700000000e-01,4.8767765900e+00,-1.5499800000e+00,4.8790966550e+00,-1.5401700000e+00,2.3200650000e-03
158,1.5800000000e-01,4.8752168000e+00,-1.5597900000e+00,4.8775515800e+00,-1.5499800000e+00,2.3347800000e-03
159,1.5900000000e-01,4.8736472000e+00,-1.5696000000e+00,4.8759966950e+00,-1.5597900000e+00,2.3494950000e-03
160,1.6000000000e-01,4.8720677900e+00,-1.5794100000e+00,4.8744320000e+00,-1.5696000000e+00,2.3642100000e-03
161,1.6100000000e-01,4.8704785700e+00,-1.5892200000e+00,4.8728574950e+00,-1.5794100000e+00,2.3789250000e-03
162,1.6200000000e-01,4.8688795400e+00,-1.5990300000e+00,4.8712731800e+00,-1.5892200000e+00,2.3936400000e-03
163,1.6300000000e-01,4.8672707000e+00,-1.6088400000e+00,4.8696790550e+00,-1.5990300000e+00,2.4083550000e-03
164,1.6400000000e-01,4.8656520500e+00,-1.6186500000e+00,4.8680751200e+00,-1.6088400000e+00,2.4230700000e-03
165,1.6500000000e-01,4.8640235900e+00,-1.6284600000e+00,4.8664613750e+00,-1.6186500000e+00,2.4377850000e-03
166,1.6600000000e-01,4.8623853200e+00,-1.6382700000e+00,4.8648378200e+00,-1.6284600000e+00,2.4525000000e-03
167,1.6700000000e-01,4.8607372400e+00,-1.6480800000e+00,4.8632044550e+00,-1.6382700000e+00,2.4672150000e-03
168,1.6800000000e-01,4.8590793500e+00,-1.6578900000e+00,4.8615612800e+00,-1.6480800000e+00,2.4819300000e-03
169,1.6900000000e-01,4.8574116500e+00,-1.6677000000e+00,4.8599082950e+00,-1.6578900000e+00,2.4966450000e-03
170,1.7000000000e-01,4.8557341400e+00,-1.6775100000e+00,4.8582455000e+00,-1.6677000000e+00,2.5113600000e-03
171,1.7100000000e-01,4.8540468200e+00,-1.6873200000e+00,4.8565728950e+00,-1.6775100000e+00,2.5260750000e-03
172,1.7200000000e-01,4.8523496900e+00,-1.6971300000e+00,4.8548904800e+00,-1.6873200000e+00,2.5407900000e-03
173,1.7300000000e-01,4.8506427500e+00,-1.7069400000e+00,4.8531982550e+00,-1.6971300000e+00,2.5555050000e-03
174,1.7400000000e-01,4.8489260000e+00,-1.7167500000e+00,4.8514962200e+00,-1.7069400000e+00,2.5702200000e-03
175,1.7500000000e-01,4.8471994400e+00,-1.7265600000e+00,4.8497843750e+00,-1.7167500000e+00,2.5849350000e-03
176,1.7600000000e-01,4.8454630700e+00,-1.7363700000e+00,4.8480627200e+00,-1.7265600000e+00,2.5996500000e-03
177,1.7700000000e-01,4.8437168900e+00,-1.7461800000e+00,4.8463312550e+00,-1.7363700000e+00,2.6143650000e-03
178,1.7800000000e-01,4.8419609000e+00,-1.7559900000e+00,4.8445899800e+00,-1.7461800000e+00,2.6290800000e-03
179,1.7900000000e-01,4.8401951000e+00,-1.7658000000e+00,4.8428388950e+00,-1.7559900000e+00,2.6437950000e-03
180,1.8000000000e-01,4.8384194900e+00,-1.7756100000e+00,4.8410780000e+00,-1.7658000000e+00,2.6585100000e-03
181,1.8100000000e-01,4.8366340700e+00,-1.7854200000e+00,4.8393072950e+00,-1.7756100000e+00,2.6732250000e-03
182,1.8200000000e-01,4.8348388400e+00,-1.7952300000e+00,4.8375267800e+00,-1.7854200000e+00,2.6879400000e-03
183,1.8300000000e-01,4.8330338000e+00,-1.8050400000e+00,4.8357364550e+00,-1.7952300000e+00,2.7026550000e-03
184,1.8400000000e-01,4.8312189500e+00,-1.8148500000e+00,4.8339363200e+00,-1.8050400000e+00,2.7173700000e-03
185,1.8500000000e-01,4.8293942900e+00,-1.8246600000e+00,4.8321263750e+00,-1.8148500000e+00,2.7320850000e-03
186,1.8600000000e-01,4.8275598200e+00,-1.8344700000e+00,4.8303066200e+00,-1.8246600000e+00,2.7468000000e-03
