step,time,z,vz,KE
262,2.62000000e-02,1.99659436e+00,-2.58003000e-01,3.32827740e-02
263,2.63000000e-02,1.99656846e+00,-2.58984000e-01,3.35363561e-02
264,2.64000000e-02,1.99654247e+00,-2.59965000e-01,3.37909006e-02
265,2.65000000e-02,1.99651637e+00,-2.60946000e-01,3.40464075e-02
266,2.66000000e-02,1.99649018e+00,-2.61927000e-01,3.43028767e-02
267,2.67000000e-02,1.99646389e+00,-2.62908000e-01,3.45603082e-02
268,2.68000000e-02,1.99643750e+00,-2.63889000e-01,3.48187022e-02
269,2.69000000e-02,1.99641101e+00,-2.64870000e-01,3.50780585e-02
270,2.70000000e-02,1.99638443e+00,-2.65851000e-01,3.53383771e-02
271,2.71000000e-02,1.99635774e+00,-2.66832000e-01,3.55996581e-02
272,2.72000000e-02,1.99633096e+00,-2.67813000e-01,3.58619015e-02
273,2.73000000e-02,1.99630408e+00,-2.68794000e-01,3.61251072e-02
274,2.74000000e-02,1.99627711e+00,-2.69775000e-01,3.63892753e-02
275,2.75000000e-02,1.99625003e+00,-2.70756000e-01,3.66544058e-02
276,2.76000000e-02,1.99622286e+00,-2.71737000e-01,3.69204986e-02
277,2.77000000e-02,1.99619558e+00,-2.72718000e-01,3.71875538e-02
278,2.78000000e-02,1.99616821e+00,-2.73699000e-01,3.74555713e-02
279,2.79000000e-02,1.99614075e+00,-2.74680000e-01,3.77245512e-02
280,2.80000000e-02,1.99611318e+00,-2.75661000e-01,3.79944935e-02
281,2.81000000e-02,1.99608552e+00,-2.76642000e-01,3.82653981e-02
282,2.82000000e-02,1.99605775e+00,-2.77623000e-01,3.85372651e-02
283,2.83000000e-02,1.99602989e+00,-2.78604000e-01,3.88100944e-02
284,2.84000000e-02,1.99600193e+00,-2.79585000e-01,3.90838861e-02
285,2.85000000e-02,1.99597388e+00,-2.80566000e-01,3.93586402e-02
286,2.86000000e-02,1.99594572e+00,-2.81547000e-01,3.96343566e-02
287,2.87000000e-02,1.99591747e+00,-2.82528000e-01,3.99110354e-02
288,2.88000000e-02,1.99588912e+00,-2.83509000e-01,4.01886765e-02
289,2.89000000e-02,1.99586067e+00,-2.84490000e-01,4.04672801e-02
290,2.90000000e-02,1.99583212e+00,-2.85471000e-01,4.07468459e-02
291,2.91000000e-02,1.99580348e+00,-2.86452000e-01,4.10273742e-02
292,2.92000000e-02,1.99577473e+00,-2.87433000e-01,4.13088647e-02
293,2.93000000e-02,1.99574589e+00,-2.88414000e-01,4.15913177e-02
294,2.94000000e-02,1.99571695e+00,-2.89395000e-01,4.18747330e-02
295,2.95000000e-02,1.99568792e+00,-2.90376000e-01,4.21591107e-02
296,2.96000000e-02,1.99565878e+00,-2.91357000e-01,4.24444507e-02
297,2.97000000e-02,1.99562955e+00,-2.92338000e-01,4.27307531e-02
298,2.98000000e-02,1.99560022e+00,-2.93319000e-01,4.30180179e-02
299,2.99000000e-02,1.99557079e+00,-2.94300000e-01,4.33062450e-02
300,3.00000000e-02,1.99554126e+00,-2.95281000e-01,4.35954345e-02
301,3.01000000e-02,1.99551163e+00,-2.96262000e-01,4.38855863e-02
302,3.02000000e-02,1.99548191e+00,-2.97243000e-01,4.41767005e-02
303,3.03000000e-02,1.99545208e+00,-2.98224000e-01,4.44687771e-02
304,3.04000000e-02,1.99542216e+00,-2.99205000e-01,4.47618160e-02
305,3.05000000e-02,1.99539214e+00,-3.00186000e-01,4.50558173e-02
306,3.06000000e-02,1.99536203e+00,-3.01167000e-01,4.53507809e-02
307,3.07000000e-02,1.99533181e+00,-3.02148000e-01,4.56467070e-02
308,3.08000000e-02,1.99530150e+00,-3.03129000e-01,4.59435953e-02
309,3.09000000e-02,1.99527109e+00,-3.04110000e-01,4.62414461e-02
310,3.10000000e-02,1.99524058e+00,-3.05091000e-01,4.65402591e-02
311,3.11000000e-02,1.99520997e+00,-3.06072000e-01,4.68400346e-02
312,3.12000000e-02,1.99517927e+00,-3.07053000e-01,4.71407724e-02
313,3.13000000e-02,1.99514846e+00,-3.08034000e-01,4.74424726e-02
314,3.14000000e-02,1.99511756e+00,-3.09015000e-01,4.77451351e-02
315,3.15000000e-02,1.99508656e+00,-3.09996000e-01,4.80487600e-02
316,3.16000000e-02,1.99505547e+00,-3.10977000e-01,4.83533473e-02
317,3.17000000e-02,1.99502427e+00,-3.11958000e-01,4.86588969e-02
318,3.18000000e-02,1.99499298e+00,-3.12939000e-01,4.89654089e-02
319,3.19000000e-02,1.99496158e+00,-3.13920000e-01,4.92728832e-02
320,3.20000000e-02,1.99493009e+00,-3.14901000e-01,4.95813199e-02
321,3.21000000e-02,1.99489851e+00,-3.15882000e-01,4.98907190e-02
322,3.22000000e-02,1.99486682e+00,-3.16863000e-01,5.02010804e-02
323,3.23000000e-02,1.99483504e+00,-3.17844000e-01,5.05124042e-02
324,3.24000000e-02,1.99480315e+00,-3.18825000e-01,5.08246903e-02
325,3.25000000e-02,1.99477117e+00,-3.19806000e-01,5.11379388e-02
326,3.26000000e-02,1.99473909e+00,-3.20787000e-01,5.14521497e-02
327,3.27000000e-02,1.99470692e+00,-3.21768000e-01,5.17673229e-02
328,3.28000000e-02,1.99467464e+00,-3.22749000e-01,5.20834585e-02
329,3.29000000e-02,1.99464227e+00,-3.23730000e-01,5.24005565e-02
330,3.30000000e-02,1.99460980e+00,-3.24711000e-01,5.27186168e-02
331,3.31000000e-02,1.99457723e+00,-3.25692000e-01,5.30376394e-02
332,3.32000000e-02,1.99454456e+00,-3.26673000e-01,5.33576245e-02
333,3.33000000e-02,1.99451180e+00,-3.27654000e-01,5.36785719e-02
334,3.34000000e-02,1.99447893e+00,-3.28635000e-01,5.40004816e-02
335,3.35000000e-02,1.99444597e+00,-3.29616000e-01,5.43233537e-02
336,3.36000000e-02,1.99441291e+00,-3.30597000e-01,5.46471882e-02
337,3.37000000e-02,1.99437975e+00,-3.31578000e-01,5.49719850e-02
338,3.38000000e-02,1.99434650e+00,-3.32559000e-01,5.52977442e-02
339,3.39000000e-02,1.99431314e+00,-3.33540000e-01,5.56244658e-02
340,3.40000000e-02,1.99427969e+00,-3.34521000e-01,5.59521497e-02
341,3.41000000e-02,1.99424614e+00,-3.35502000e-01,5.62807960e-02
342,3.42000000e-02,1.99421249e+00,-3.36483000e-01,5.66104046e-02
343,3.43000000e-02,1.99417875e+00,-3.37464000e-01,5.69409756e-02
344,3.44000000e-02,1.99414490e+00,-3.38445000e-01,5.72725090e-02
345,3.45000000e-02,1.99411096e+00,-3.39426000e-01,5.76050047e-02
346,3.46000000e-02,1.99407692e+00,-3.40407000e-01,5.79384628e-02
347,3.47000000e-02,1.99404278e+00,-3.41388000e-01,5.82728833e-02
348,3.48000000e-02,1.99400854e+00,-3.42369000e-01,5.86082661e-02
349,3.49000000e-02,1.99397421e+00,-3.43350000e-01,5.89446113e-02
