snap,time,x,y,z
0,0.000000e+00,1.895833e+00,1.638046e+00,1.230615e+00
0,0.000000e+00,1.595390e+00,9.660166e-01,8.910872e-01
0,0.000000e+00,1.216421e+00,6.824102e-01,1.745981e+00
0,0.000000e+00,6.453063e-01,8.365690e-01,6.187423e-01
0,0.000000e+00,6.295145e-01,1.853722e+00,3.132943e-01
0,0.000000e+00,1.432932e-01,1.942517e+00,1.996727e-01
0,0.000000e+00,1.192030e+00,1.469214e+00,7.682367e-02
0,0.000000e+00,1.299193e+00,1.420048e+00,1.659870e+00
0,0.000000e+00,5.848172e-01,1.691379e+00,1.003712e+00
0,0.000000e+00,5.881770e-02,1.341769e+00,1.914728e+00
0,0.000000e+00,6.959059e-01,1.203496e+00,1.433708e+00
0,0.000000e+00,7.592900e-01,1.716502e+00,4.724478e-01
0,0.000000e+00,1.017594e+00,1.804795e+00,4.699643e-01
0,0.000000e+00,2.965495e-01,3.292294e-01,9.262389e-01
0,0.000000e+00,3.183830e-01,1.573422e+00,4.012867e-01
1,5.000000e-01,1.264595e-01,6.803767e-01,1.367097e-01
1,5.000000e-01,9.093222e-01,4.936727e-01,6.350451e-02
1,5.000000e-01,1.147099e+00,1.758652e+00,6.320917e-02
1,5.000000e-01,1.021062e-01,7.448362e-01,2.679527e-01
1,5.000000e-01,6.567035e-01,3.548895e-01,4.915533e-02
1,5.000000e-01,1.474330e+00,1.876334e-01,5.439032e-02
1,5.000000e-01,1.122192e+00,1.459781e+00,6.769094e-01
1,5.000000e-01,5.375019e-01,9.072428e-01,6.489196e-02
1,5.000000e-01,1.139561e+00,1.104387e+00,1.983351e-01
1,5.000000e-01,1.285459e+00,1.526114e+00,3.825648e-02
1,5.000000e-01,5.743086e-01,1.622940e+00,5.482379e-01
1,5.000000e-01,1.936459e+00,5.064289e-01,4.951702e-02
1,5.000000e-01,4.623528e-01,1.734536e+00,6.803254e-01
1,5.000000e-01,1.041803e+00,1.856191e+00,4.874747e-02
1,5.000000e-01,5.985554e-01,4.490283e-01,8.032932e-02
1,5.000000e-01,8.190542e-01,1.950611e+00,4.141161e-02
1,5.000000e-01,1.753391e+00,1.148172e+00,5.729548e-02
1,5.000000e-01,1.797634e+00,1.520885e+00,2.646384e-01
1,5.000000e-01,8.854224e-01,7.175238e-01,8.994421e-02
1,5.000000e-01,5.399932e-01,1.943622e+00,4.901850e-02
1,5.000000e-01,1.478066e+00,5.333266e-01,6.066476e-01
1,5.000000e-01,1.314921e+00,4.679366e-01,4.931159e-02
1,5.000000e-01,1.636661e+00,6.939318e-01,4.901901e-02
1,5.000000e-01,1.510560e+00,1.852771e+00,7.092656e-01
1,5.000000e-01,2.793391e-01,4.968234e-01,4.576096e-02
1,5.000000e-01,1.095172e+00,1.291656e+00,4.186029e-02
1,5.000000e-01,3.743108e-01,1.119732e+00,2.939901e-01
1,5.000000e-01,9.138516e-01,1.025191e+00,4.722513e-02
1,5.000000e-01,5.120139e-01,1.805257e+00,5.303217e-01
1,5.000000e-01,1.114656e+00,2.350998e-01,4.893397e-01
1,5.000000e-01,1.447097e+00,1.612857e+00,4.901726e-02
1,5.000000e-01,1.309485e+00,8.675017e-01,5.489327e-02
1,5.000000e-01,1.598951e+00,6.247044e-01,3.108924e-01
1,5.000000e-01,1.760192e+00,1.902646e-01,2.186638e-01
1,5.000000e-01,1.758075e+00,4.146036e-01,6.604872e-01
1,5.000000e-01,2.814023e-01,1.530644e+00,7.706210e-02
1,5.000000e-01,7.442036e-01,1.831455e+00,5.335194e-02
1,5.000000e-01,3.040125e-01,8.852057e-01,4.175595e-02
1,5.000000e-01,1.354804e+00,1.344331e+00,4.583235e-02
1,5.000000e-01,1.179062e+00,5.142243e-01,1.106955e-01
1,5.000000e-01,9.348447e-01,1.775355e+00,7.157742e-02
1,5.000000e-01,1.206435e+00,1.154074e+00,4.910345e-02
1,5.000000e-01,1.875113e+00,5.923625e-01,6.810992e-02
1,5.000000e-01,1.462842e+00,5.784092e-01,9.116223e-02
1,5.000000e-01,9.626385e-01,2.982326e-01,3.580227e-02
1,5.000000e-01,8.800403e-01,6.186139e-01,8.663775e-02
1,5.000000e-01,3.547825e-01,1.240355e+00,1.024680e-01
1,5.000000e-01,4.712879e-01,1.523801e+00,3.115153e-01
1,5.000000e-01,1.693045e+00,9.360244e-01,7.664267e-02
1,5.000000e-01,8.791979e-01,1.623478e-01,1.698336e-01
1,5.000000e-01,2.483811e-01,1.059048e+00,2.888504e-02
1,5.000000e-01,1.152076e+00,5.204208e-01,3.241259e-02
